,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,1058
B,,3417,1955,12077,50740,79746,91630,109363,119428,117777,116361,120662
C,,4172,2885,19363,59872,86598,94416,113451,129950,121707,123737,126008
D,,4400,3324,19020,52439,85494,92918,112666,122664,123714,126370,122643
E,,5153,2955,27508,67084,100753,103088,111455,116034,129973,117486,2744
F,,3758,2222,22751,56999,78180,105221,122396,122671,118704,122466,129057
G,,4377,2024,21507,55351,80916,94809,108463,116109,126919,129905,129799
H,,,,,,,,,,,,133064
